city,name,address,postal_code,latitude,longitude,open_weekend,open_holidays,open_time,close_time,fee_per_hour,cashless_payment,ev_charging,total_spots,source_url
Frankfurt am Main,Parkhaus Am Krankenhaus Höchst,"Gotenstraße 33, 65929 Frankfurt am Main",65929,,,TRUE,TRUE,0,24,1,FALSE,-,472,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Am-Krankenhaus-Hoechst.html
Frankfurt am Main,Tiefgarage Bürgerhaus Bornheim,"Arnsburger Straße 24, 60385 Frankfurt am Main",60385,,,TRUE,TRUE,0,24,1,TRUE,-,179,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Buergerhaus-Bornheim.html
Frankfurt am Main,Parkplatz Brentanobad,"Ludwig-Landmann-Straße 344, 60487 Frankfurt am Main",60487,,,FALSE,FALSE,0,24,0,FALSE,-,344,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Brentanobad.html
Frankfurt am Main,Parkhaus Friedrichsheim,"Marienburgstraße 2, 60528 Frankfurt am Main",60528,,,TRUE,TRUE,0,24,1.5,TRUE,-,227,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Friedrichsheim.html
Frankfurt am Main,Parkhaus Höchst,"Billtalstraße 2, 65929 Frankfurt am Main",65929,,,TRUE,TRUE,0,24,0.5,FALSE,-,344,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Hoechst.html
Frankfurt am Main,Tiefgarage Mousonturm,"Waldschmidtstraße 6, 60316 Frankfurt am Main",60316,,,TRUE,TRUE,0,24,1,TRUE,-,252,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Mousonturm.html
Frankfurt am Main,Parkhaus Nordwestzentrum,"Erich-Ollenhauer-Ring, 60439 Frankfurt am Main",60439,,,TRUE,TRUE,0,24,0,FALSE,-,3085,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Nordwestzentrum.html
Frankfurt am Main,Tiefgarage Ordnungsamt,"Kleyerstraße 86, 60326 Frankfurt am Main",60326,,,TRUE,TRUE,0,24,1,TRUE,-,143,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Ordnungsamt.html
Frankfurt am Main,Tiefgarage Palmengarten,"Siesmayerstraße 61, 60323 Frankfurt am Main",60323,,,FALSE,FALSE,0,24,1,TRUE,20,259,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Palmengarten.html
Frankfurt am Main,P+R-Haus Borsigallee,"Borsigallee 24a, 60388 Frankfurt am Main",60388,,,TRUE,TRUE,0,24,0,TRUE,-,899,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/P-and-R-Haus-Borsigallee.html
Frankfurt am Main,Parkhaus Untermainanlage,"Untermainanlage 1, 60329 Frankfurt am Main",60329,,,FALSE,FALSE,0,24,2,TRUE,25,142,https://parkhausfrankfurt.de/de/parkhaeuser/Ohne-Parkleitsystem/Untermainanlage.html
Frankfurt am Main,Fahrradparkhaus Am Hauptbahnhof,"Mannheimer Straße 35, 60329 Frankfurt am Main",60329,,,FALSE,FALSE,0,24,0,FALSE,-,0,https://parkhausfrankfurt.de/de/parkhaeuser/Fahradparkhaeuser/Fahrradparkhaus-Am-Hauptbahnhof.html
Hamburg,Parkhaus Krummholzberg,"Krummholzberg 10, 21073 Hamburg",21073,,,TRUE,TRUE,0,24,0,TRUE,-,312,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-krummholzberg-hamburg--ci3cp1124509
Hamburg,Tiefgarage Enckeplatz Quartiersgarage,"Hütten 14, 20355 Hamburg",20355,,,FALSE,FALSE,0,24,0,FALSE,-,94,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-enckeplatz-quartiersgarage-hamburg--ci3cp1124400
Hamburg,Tiefgarage Am Sandtorkai,"Singapurstraße Haus 2, 20457 Hamburg",20457,,,TRUE,TRUE,0,24,0,TRUE,-,277,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-am-sandtorkai-hamburg--ci3cp113074899
Hamburg,Tiefgarage Elbarkaden,"Hongkongstraße 6a, 20457 Hamburg",20457,,,TRUE,TRUE,0,24,0,FALSE,0,220,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-elbarkaden-hamburg--ci3cp1124081
Hamburg,Tiefgarage Wandsbek Quarree P1,"Schünemannstieg, 22041 Hamburg",22041,,,FALSE,FALSE,6,24,0,FALSE,0,345,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-wandsbek-quarree-p1-hamburg--ci3cp1124102
Hamburg,Parkplatz Hansa-Theater,"Bremer Reihe 16-18, 20099 Hamburg",20099,,,TRUE,TRUE,0,24,0,TRUE,-,51,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkplatz-hansa-theater-hamburg--ci3cp112617329
Hamburg,Parkhaus Speicherstadt,"Am Sandtorkai 6, 20457 Hamburg",20457,,,TRUE,TRUE,0,24,0,FALSE,-,814,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-speicherstadt-hamburg--ci3cp1124106
Hamburg,Tiefgarage Überseequartier,"Überseeallee 3, 20457 Hamburg",20457,,,TRUE,TRUE,0,24,0,TRUE,-,420,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/tiefgarage-ueberseequartier-hamburg--ci3cp1124103
Hamburg,Parkhaus W1 - Wandsbek,"Brauhausstieg, 22041 Hamburg",22041,,,TRUE,TRUE,0,24,0,FALSE,-,316,https://www.mein-contipark.de/parkplatz-finden/parken-in-hamburg/parkhaus-w1-wandsbek-hamburg--ci3cp1124218
